,flat_price,rooms,area,living_area,kitchen_area,floor,finishing,deal_type,house_age,wall_material,house_series,house_floors,elevator,latitude,longitude,center_distance
1127,10.5,1.0,37.8,28.0,9.1,10.0,Евро,Свободная продажа,2017.0,Панельный,П-111М,17.0,есть,55.598446,37.362271,23.46474420048584
1128,18.6,1.0,38.9,9.3,19.4,6.0,Отсутствует,Свободная продажа,2022.0,Монолитно-кирпичный,Серия неизвестна,11.0,Неизвестно,55.76353,37.65957,2.9235385964203777
1129,31.5,3.0,59.7,35.8,16.8,11.0,Дизайнерский,Свободная продажа,2021.0,Монолитный,Серия неизвестна,37.0,есть,55.698026,37.474435,10.825241047350724
1130,16.8,3.0,62.4,43.0,8.0,5.0,Не известно,Свободная продажа,1965.0,Панельный,II-57,9.0,есть,55.725443,37.432636,11.996620483476002
1131,90.0,5.0,123.0,60.0,20.0,6.0,Дизайнерский,Альтернатива,1876.0,Кирпичный,II-01,6.0,есть,55.7571,37.602948,1.0883161227493072
1132,12.75,1.0,40.0,20.0,10.0,20.0,Евро,Свободная продажа,2022.0,Монолитный,Серия неизвестна,24.0,Неизвестно,55.729346,37.71689,6.719286343187047
1133,26.9,4.0,81.2,55.3,6.4,12.0,Требует ремонта,Свободная продажа,2022.0,Монолитный,Серия неизвестна,27.0,Неизвестно,55.699974,37.468739,11.008877859792879
1134,11.99,1.0,41.2,17.6,11.3,8.0,Евро,Свободная продажа,2018.0,Иные,II-14,16.0,есть,55.92485,37.548555,19.727067523071632
1135,11.7,3.0,66.8,50.12529182879378,13.041893539211703,4.0,Косметический,Свободная продажа,1958.0,Кирпичный,Серия неизвестна,5.0,Неизвестно,55.786627,37.740471,8.614364485023941
1136,11.0,1.0,33.4,16.7,9.5,1.0,Евро,Свободная продажа,2012.0,Блочный,01-пз индивидуальный проект,17.0,есть,55.827575,37.667905,8.983809454693674
1137,12.8,2.0,44.2,28.9,6.0,2.0,Косметический,Свободная продажа,1969.0,Железобетон,II-49,9.0,есть,55.884933,37.664923,15.093374526743725
1138,43.0,4.0,117.0,85.0,22.8,12.0,Отсутствует,Свободная продажа,2019.0,Монолитный,Серия неизвестна,32.0,есть,55.751665,37.526295,5.741756780137604
1139,29.0,4.0,95.0,70.0,15.0,8.0,Евро,Свободная продажа,2007.0,Монолитный,II-14,11.0,есть,55.897362,37.389733,21.590279518522635
1140,10.5,1.0,34.8,19.0,10.0,12.0,Не известно,Свободная продажа,1988.0,Блочный,II-68,16.0,есть,55.856103,37.412316,17.328441923264094
1141,25.0,2.0,69.6,37.0,12.5,9.0,Евро,Альтернатива,2001.0,Монолитный,01-пз индивидуальный проект,12.0,есть,55.890224,37.395284,20.766806707871165
1142,14.0,3.0,76.0,50.12529182879378,12.9,12.0,Не известно,Неизвестно,2008.0,Панельный,П-44Т,17.0,есть,55.588425,37.37721,23.679436054121737
1143,24.5,4.0,87.4,55.0,23.0,15.0,Евро,Свободная продажа,2018.0,Монолитный,Серия неизвестна,25.0,Неизвестно,55.619467,37.415344,19.487909492179643
1144,20.9,3.0,74.7,37.9,19.8,8.0,Требует ремонта,Свободная продажа,2017.0,Монолитный,Серия неизвестна,15.0,есть,55.690187,37.657781,7.32765354176712
1145,12.25,1.0,38.0,18.754882337030025,7.0,13.0,Косметический,Альтернатива,2011.0,Панельный,П-44Т,17.0,есть,55.878011,37.610844,14.036629586278691
1146,13.5,2.0,43.8,18.4,11.2,3.0,Евро,Свободная продажа,2016.0,Монолитный,а-монолит,20.0,есть,55.633744,37.324192,22.674014679581333
1147,15.1,2.0,60.0,32.24744287268771,11.0,3.0,Не известно,Неизвестно,2014.0,Смешанные,1730-п,12.0,есть,55.476975,37.542761,30.98203781057302
1148,99.0,4.0,133.0,80.0,10.0,4.0,Косметический,Свободная продажа,1914.0,Кирпичный,01-пз индивидуальный проект,6.0,есть,55.756771,37.592725,1.6577108879421805
1149,20.5,3.0,75.5,41.0,8.4,9.0,Косметический,Альтернатива,1997.0,Железобетон,П-55,14.0,есть,55.841311,37.529151,11.390698155914656
1150,230.0,4.0,233.3,79.50650510204082,18.169964664310953,6.0,С отделкой,Свободная продажа,2005.0,Монолитный,01-пз индивидуальный проект,8.0,есть,55.739017,37.60381,1.6893184974345714
1151,28.99,3.0,68.1,52.0,7.0,3.0,Евро,Свободная продажа,1968.0,Кирпичный,Серия неизвестна,9.0,Неизвестно,55.785205,37.634533,3.8444915897281087
1152,123.5,4.0,175.0,99.0,16.0,3.0,Дизайнерский,Свободная продажа,1914.0,Кирпичный,01-пз индивидуальный проект,6.0,есть,55.769342,37.602885,2.1441659605616006
1153,9.98,1.0,38.3,18.0,6.9,12.0,Не известно,Свободная продажа,2015.0,Панельный,П-44Т,17.0,есть,55.704316,37.938918,20.866610822410745
1154,15.0,3.0,65.0,50.0,9.0,3.0,Косметический,Свободная продажа,1971.0,Железобетон,1-515-9,9.0,есть,55.876789,37.535448,14.82067929373724
1155,261.558469,3.0,179.0,50.12529182879378,13.041893539211703,4.0,Не известно,Свободная продажа,2012.0,Монолитный,01-пз индивидуальный проект,6.0,есть,55.741744,37.599741,1.606372287052946
1156,15.0,1.0,45.0,25.0,10.0,22.0,Не известно,Альтернатива,2018.0,Монолитный,"14/14, индивидуальный",34.0,есть,55.557765,37.555023,21.98248642123549
